id,depth,dip,dip_direction
1,1.000,21.062,93.245
2,2.678,5.824,358.246
3,4.356,27.264,157.573
4,6.034,8.748,98.093
5,7.712,22.226,77.694
6,9.390,2.797,239.078
7,11.068,7.986,82.688
8,12.746,24.796,55.709
9,14.424,10.537,316.070
10,16.102,18.771,46.021
11,17.780,13.894,53.100
12,19.458,4.656,160.930
13,21.136,21.824,96.080
14,22.814,13.752,88.320
15,24.492,12.696,130.097
16,26.169,4.809,171.254
17,27.847,17.985,262.909
18,29.525,14.747,264.141
19,31.203,18.203,143.307
20,32.881,13.183,29.963
21,34.559,9.835,61.317
22,36.237,15.302,107.181
23,37.915,24.408,72.609
24,39.593,12.348,134.944
25,41.271,4.615,24.665
26,42.949,22.791,320.935
27,44.627,7.976,222.707
28,46.305,6.437,139.222
29,47.983,14.360,55.204
30,49.661,22.796,86.697
31,51.339,13.147,121.706
32,53.017,20.665,58.631
33,54.695,24.724,127.088
34,56.373,12.947,62.143
35,58.051,15.533,82.688
36,59.729,18.800,135.138
37,61.407,11.586,304.478
38,63.085,8.831,12.039
39,64.763,2.154,121.533
40,66.441,8.662,6.195
41,68.119,27.935,109.482
42,69.797,13.512,198.770
43,71.475,15.744,42.016
44,73.153,13.599,55.766
45,74.831,7.198,328.106
46,76.508,9.806,201.426
47,78.186,13.993,55.875
48,79.864,10.559,316.236
49,81.542,18.034,93.700
50,83.220,20.765,49.469
51,84.898,14.037,171.184
52,86.576,12.964,81.027
53,88.254,10.046,88.414
54,89.932,14.658,86.797
55,91.610,14.428,151.082
56,93.288,14.561,64.886
57,94.966,3.566,198.037
58,96.644,14.134,102.117
59,98.322,29.776,66.690
60,100.000,13.424,98.241
61,1.000,51.617,26.997
62,2.678,64.793,50.017
63,4.356,72.212,46.118
64,6.034,57.921,47.316
65,7.712,56.004,49.613
66,9.390,63.897,35.504
67,11.068,67.189,47.708
68,12.746,82.508,43.131
69,14.424,58.161,50.460
70,16.102,71.481,60.923
71,17.780,57.139,38.632
72,19.458,69.958,59.598
73,21.136,42.150,38.177
74,22.814,65.246,35.858
75,24.492,57.317,37.551
76,26.169,63.854,51.923
77,27.847,61.115,45.153
78,29.525,61.979,49.778
79,31.203,61.152,29.606
80,32.881,57.486,29.420
81,34.559,61.388,45.780
82,36.237,63.864,38.555
83,37.915,58.703,45.218
84,39.593,68.415,37.309
85,41.271,70.455,36.488
86,42.949,62.188,47.059
87,44.627,58.998,49.963
88,46.305,42.958,50.726
89,47.983,50.200,43.066
90,49.661,62.041,41.000
91,51.339,59.809,37.532
92,53.017,62.446,35.403
93,54.695,62.455,43.014
94,56.373,72.513,54.992
95,58.051,45.962,51.324
96,59.729,56.076,32.704
97,61.407,60.996,64.311
98,63.085,62.304,41.336
99,64.763,74.182,42.189
100,66.441,71.377,63.802
101,68.119,39.723,30.808
102,69.797,69.502,60.309
103,71.475,64.663,34.469
104,73.153,53.560,44.873
105,74.831,51.863,38.350
106,76.508,72.864,49.579
107,78.186,72.639,51.651
108,79.864,63.486,42.834
109,81.542,61.316,46.622
110,83.220,55.932,42.668
111,84.898,62.329,71.049
112,86.576,55.834,61.109
113,88.254,61.078,28.830
114,89.932,53.349,37.635
115,91.610,73.135,52.454
116,93.288,54.813,43.333
117,94.966,69.361,33.330
118,96.644,60.643,41.683
119,98.322,55.329,30.180
120,100.000,69.931,34.427
