id,depth,dip,dip_direction
1,1.000,47.312,190.843
2,2.678,29.004,221.722
3,4.356,53.746,191.533
4,6.034,31.417,199.148
5,7.712,25.994,171.819
6,9.390,53.250,215.609
7,11.068,27.028,200.777
8,12.746,16.369,171.996
9,14.424,31.699,234.433
10,16.102,22.400,202.976
11,17.780,23.952,202.328
12,19.458,38.018,208.771
13,21.136,34.234,176.300
14,22.814,28.344,189.158
15,24.492,47.650,199.515
16,26.169,41.180,209.916
17,27.847,48.415,229.573
18,29.525,44.396,228.567
19,31.203,65.197,202.037
20,32.881,35.805,216.288
21,34.559,28.203,204.530
22,36.237,33.526,186.903
23,37.915,29.971,177.791
24,39.593,38.284,195.725
25,41.271,30.976,215.996
26,42.949,38.737,251.468
27,44.627,43.986,215.891
28,46.305,44.351,206.526
29,47.983,23.289,200.096
30,49.661,30.796,172.870
31,51.339,34.120,190.899
32,53.017,28.259,193.668
33,54.695,54.789,189.135
34,56.373,21.199,195.946
35,58.051,32.166,191.099
36,59.729,46.507,191.548
37,61.407,60.355,224.122
38,63.085,60.223,217.364
39,64.763,38.441,211.196
40,66.441,25.768,224.437
41,68.119,44.169,174.016
42,69.797,45.542,210.113
43,71.475,16.913,206.334
44,73.153,23.891,200.954
45,74.831,37.622,224.899
46,76.508,46.410,211.874
47,78.186,23.138,199.979
48,79.864,40.763,229.457
49,81.542,27.291,175.846
50,83.220,27.968,201.123
51,84.898,50.146,204.225
52,86.576,32.960,196.363
53,88.254,36.932,201.040
54,89.932,33.268,192.151
55,91.610,39.344,195.422
56,93.288,29.705,198.288
57,94.966,47.299,213.286
58,96.644,46.591,197.968
59,98.322,22.905,154.325
60,100.000,31.932,190.627
61,1.000,58.660,315.455
62,2.678,71.116,303.633
63,4.356,77.277,315.416
64,6.034,59.232,312.589
65,7.712,58.653,306.606
66,9.390,69.877,315.908
67,11.068,84.097,285.972
68,12.746,87.420,120.650
69,14.424,75.013,287.146
70,16.102,69.154,314.310
71,17.780,73.939,293.190
72,19.458,73.102,302.358
73,21.136,68.453,284.727
74,22.814,73.404,310.503
75,24.492,70.296,299.508
76,26.169,66.777,307.568
77,27.847,66.130,309.122
78,29.525,54.869,335.781
79,31.203,73.613,303.729
80,32.881,78.548,289.787
81,34.559,69.315,303.213
82,36.237,70.326,312.533
83,37.915,59.982,315.585
84,39.593,75.268,313.995
85,41.271,75.658,320.844
86,42.949,72.032,299.095
87,44.627,60.884,308.942
88,46.305,59.658,287.047
89,47.983,62.778,296.552
90,49.661,80.739,287.982
91,51.339,72.582,299.781
92,53.017,72.410,306.285
93,54.695,70.555,305.284
94,56.373,77.811,306.094
95,58.051,61.051,288.302
96,59.729,71.006,298.660
97,61.407,59.089,295.961
98,63.085,75.606,296.730
99,64.763,86.095,296.742
100,66.441,86.173,279.340
101,68.119,65.489,287.472
102,69.797,67.346,311.409
103,71.475,78.037,299.305
104,73.153,61.413,302.194
105,74.831,70.710,291.332
106,76.508,82.268,300.326
107,78.186,82.619,297.297
108,79.864,69.317,310.497
109,81.542,65.469,309.502
110,83.220,63.401,305.095
111,84.898,69.145,279.815
112,86.576,62.589,289.237
113,88.254,72.230,306.776
114,89.932,63.155,304.278
115,91.610,81.614,300.761
116,93.288,59.241,309.472
117,94.966,73.374,326.519
118,96.644,68.194,306.890
119,98.322,73.678,294.396
120,100.000,75.670,319.918
